name,published_at,status,url,validity,valid_from,valid_to,epoch_valid_from,epoch_valid_to,recently_added,address,latitude,longitude
139. Grundschule Dresden,2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_12_139GSDD.pdf,13.01.2022 bis 19.01.2022,2022-01-13 00:00:00,2022-01-19 00:00:00,1642032000,1642550400,False,"Omsewitzer Ring 4, 01169 Dresden, Deutschland",51.04562,13.66737
"108. Grundschule Dresden ""Sonnenblumenschule"" in Dresden",2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_12_108GSDD.pdf,13.01.2022 bis 21.01.2022,2022-01-13 00:00:00,2022-01-21 00:00:00,1642032000,1642723200,False,"Hepkestraße 28, 01309 Dresden, Deutschland",51.0377795,13.7840508
81. Grundschule „Robert Weber“ in Dresden,2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_12_81GSDD.pdf,13.01.2022 bis 20.01.2022,2022-01-13 00:00:00,2022-01-20 00:00:00,1642032000,1642636800,False,"Robert-Weber-Straße 5, 01187 Dresden, Deutschland",51.02424999999999,13.68951
102. Grundschule „Johanna“ in Dresden,2022-01-11,Widerruf der Allgemeinverfügung zur befristeten teilweisen Schließung,https://www.smk.sachsen.de/ppdf/22_01_11_102_Grundschule_Dresden.pdf,12.01.2022,2022-01-12 00:00:00,2022-01-12 00:00:00,1641945600,1641945600,False,"Pfotenhauerstraße 40, 01307 Dresden, Deutschland",51.0559243,13.7661343
102. Grundschule „Johanna“ in Dresden,2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_10_102_Grundschule_Dresden.pdf,11.01.2022 bis 19.01.2022,2022-01-11 00:00:00,2022-01-19 00:00:00,1641859200,1642550400,False,"Pfotenhauerstraße 40, 01307 Dresden, Deutschland",51.0559243,13.7661343
32. Oberschule Dresden,2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_10_32OSDD.pdf,11.01.2022 bis 17.01.2022,2022-01-11 00:00:00,2022-01-17 00:00:00,1641859200,1642377600,False,"Kipsdorfer Str. 153, 01279 Dresden, Deutschland",51.03477239999999,13.8152402
"65. Grundschule ""Am Waldpark Kleinzschachwitz“ in Dresden",2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_10_65GSDD.pdf,11.01.2022 bis 17.01.2022,2022-01-11 00:00:00,2022-01-17 00:00:00,1641859200,1642377600,False,"Zschierener Str. 5, 01259 Dresden, Deutschland",51.0074178,13.8493905
"68. Grundschule ""Am Heiligen Born"" in Dresden",2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_10_68GSDD.pdf,11.01.2022 bis 17.01.2022,2022-01-11 00:00:00,2022-01-17 00:00:00,1641859200,1642377600,False,"Heiligenbornstraße 15, 01219 Dresden, Deutschland",51.01085,13.76417
Grundschule Weißig „Hutbergschule“ in Dresden,2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_10_Grundschule_Weissig.pdf,11.01.2022 bis 19.01.2022,2022-01-11 00:00:00,2022-01-19 00:00:00,1641859200,1642550400,False,"Hauptstraße 14, 01328 Dresden, Deutschland",51.059095,13.8852311
81. Grundschule „Robert Weber“ in Dresden,2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_10_81_Grundschule_Dresden.pdf,11.01.2022 bis 17.01.2022,2022-01-11 00:00:00,2022-01-17 00:00:00,1641859200,1642377600,False,"Robert-Weber-Straße 5, 01187 Dresden, Deutschland",51.02424999999999,13.68951
"Schule mit dem Förderschwerpunkt geistige Entwicklung ""Astrid Lindgren"" in Dresden",2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_10_FSAstridLindgrenDresden.pdf,11.01.2022 bis 21.01.2022,2022-01-11 00:00:00,2022-01-21 00:00:00,1641859200,1642723200,False,"Lise-Meitner-Straße 22, 01169 Dresden, Deutschland",51.05126689999999,13.6597744
Albert-Schweitzer-Oberschule in Chemnitz,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_AlbertSchweitzerChemnitz.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Albert-Köhler-Straße 48, 09122 Chemnitz, Deutschland",50.79299959999999,12.8889563
Oberschule Gablenz in Chemnitz,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_OS_Gablenz.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Adelsbergstraße 90, 09126 Chemnitz, Deutschland",50.8310104,12.9527999
Kooperationsschule Chemnitz,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_Kooperationsschule.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Hohe Str. 33, 09112 Chemnitz, Deutschland",50.83487,12.9121599
Kooperationsschule Chemnitz,2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22-01_12_Kooperationsschule_Chemnitz.pdf,13.01.2022 bis 19.01.2022,2022-01-13 00:00:00,2022-01-19 00:00:00,1642032000,1642550400,False,"Hohe Str. 33, 09112 Chemnitz, Deutschland",50.83487,12.9121599
"Josephinenschule, Oberschule, in Chemnitz",2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_12_Josephinenschule_Oberschule_Chemnitz.pdf,13.01.2022 bis 19.01.2022,2022-01-13 00:00:00,2022-01-19 00:00:00,1642032000,1642550400,False,"Josephinenpl. 9, 09113 Chemnitz, Deutschland",50.84975,12.92969
Grundschule Gablenz in Chemnitz,2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_10_Grundschule_Gablenz.pdf,11.01.2022 bis 17.01.2022,2022-01-11 00:00:00,2022-01-17 00:00:00,1641859200,1642377600,False,"Carl-von-Ossietzky-Straße 171, 09127 Chemnitz, Deutschland",50.8225938,12.9645995
Werner-Heisenberg-Schule – Gymnasium der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_HeisenbergGymLeipzig.pdf,19.01.2022 bis 21.01.2022,2022-01-19 00:00:00,2022-01-21 00:00:00,1642550400,1642723200,True,"Renftstraße 3, 04159 Leipzig, Deutschland",51.36743,12.34247
Humboldtschule - Gymnasium der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_Humboldtschule.pdf,18.01.2022 bis 21.01.2022,2022-01-18 00:00:00,2022-01-21 00:00:00,1642464000,1642723200,True,"Möbiusstraße 8, 04317 Leipzig, Deutschland",51.32997,12.40757
Schule am Adler - Oberschule der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_OSAmAdlerLeipzig.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Antonienstraße 24, 04229 Leipzig, Deutschland",51.32088,12.3292301
Schule Holzhausen - Grundschule der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_GSHolzhausen.pdf,18.01.2022 bis 26.01.2022,2022-01-18 00:00:00,2022-01-26 00:00:00,1642464000,1643155200,True,"Stötteritzer Landstraße 21, 04288 Leipzig, Deutschland",51.3049308,12.4657603
Grundschule Mölkau in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_GrundschuleMoelkau.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Schulstraße 8, 04316 Leipzig, Deutschland",51.3302647,12.4447081
Carl-von-Linné-Schule - Grundschule der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_CarlvonLinneSchule.pdf,18.01.2022 bis 21.01.2022,2022-01-18 00:00:00,2022-01-21 00:00:00,1642464000,1642723200,True,"Delitzscher Str. 110, 04129 Leipzig, Deutschland",51.37004959999999,12.386342
Freie Grundschule Clara Schumann Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_ClaraSchumannLeipzig.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Inselstraße 18, 04103 Leipzig, Deutschland",51.34057,12.3911901
74. Schule - Grundschule der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_74GSLeipzig.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Stünzer Str. 16, 04318 Leipzig, Deutschland",51.33723,12.41193
85. Schule - Grundschule der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_17_85GSL.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Stuttgarter Allee 3, 04209 Leipzig, Deutschland",51.3140909,12.2918854
84. Schule - Oberschule der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_84_OS_der_Stadt_Leipzig.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Stuttgarter Allee 5, 04209 Leipzig, Deutschland",51.3145847,12.2913765
91. Schule - Grundschule der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_91_Schule_GS_der_Stadt_Leipzig.pdf,18.01.2022 bis 21.01.2022,2022-01-18 00:00:00,2022-01-21 00:00:00,1642464000,1642723200,True,"Uranusstraße 1, 04205 Leipzig, Deutschland",51.3210209,12.2756144
Clara-Wieck-Schule – Grundschule der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_Clara_Wieck_Schule_GS_der_Stadt_Leipzig.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Stöckelstraße 45, 04347 Leipzig, Deutschland",51.3556779,12.4116468
Schule am Floßplatz - Grundschule der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_GS_am_Flossplatz_Leipzig.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Hohe Str. 45, 04107 Leipzig, Deutschland",51.3296968,12.372291
Schule am Grünen Gleis - Grundschule der Stadt Leipzig - in Leipzig,2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_17_GS_am_Gruenen_Gleis_Leipzig.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Baumannstraße 13, 04229 Leipzig, Deutschland",51.3179037,12.3237382
"Sächsische Landesschule mit dem Förderschwerpunkt Hören, Förderzentrum Samuel Heinicke in Leipzig",2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_14_Foerderzentrum_Samuel_Heinicke_Leipzig.pdf,15.01.2022 bis 21.01.2022,2022-01-15 00:00:00,2022-01-21 00:00:00,1642204800,1642723200,False,"Karl-Siegismund-Straße 2, 04317 Leipzig, Deutschland",51.3280406,12.398327
Schule am Floßplatz - Grundschule der Stadt Leipzig - in Leipzig,2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_14_Grundschule_Schule_am_Flossplatz.pdf,15.01.2022 bis 21.01.2022,2022-01-15 00:00:00,2022-01-21 00:00:00,1642204800,1642723200,False,"Hohe Str. 45, 04107 Leipzig, Deutschland",51.3296968,12.372291
85. Schule - Grundschule der Stadt Leipzig - in Leipzig,2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_14_85GSLeipzig.pdf,15.01.2022 bis 21.01.2022,2022-01-15 00:00:00,2022-01-21 00:00:00,1642204800,1642723200,False,"Stuttgarter Allee 3, 04209 Leipzig, Deutschland",51.3140909,12.2918854
Ernst-Zinna-Schule - Förderzentrum mit dem Förderschwerpunkt Lernen der Stadt Leipzig - in Leipzig,2022-01-14,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_14_ErnstZinnaSchule.pdf,15.01.2022 bis 21.01.2022,2022-01-15 00:00:00,2022-01-21 00:00:00,1642204800,1642723200,False,"Wincklerstraße 3-5, 04279 Leipzig, Deutschland",51.28686,12.39544
74. Schule - Grundschule der Stadt Leipzig - in Leipzig,2022-01-13,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_13_74GSLeipzig.pdf,14.01.2022 bis 20.01.2022,2022-01-14 00:00:00,2022-01-20 00:00:00,1642118400,1642636800,False,"Stünzer Str. 16, 04318 Leipzig, Deutschland",51.33723,12.41193
Heinrich-Pestalozzi-Schule - Oberschule der Stadt Leipzig - in Leipzig,2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_12_HeinrichPestalozziOS.pdf,13.01.2022 bis 21.01.2022,2022-01-13 00:00:00,2022-01-21 00:00:00,1642032000,1642723200,False,"Pestalozzistraße 39-41, 04178 Leipzig, Deutschland",51.3577567,12.2900801
39. Schule - Grundschule der Stadt Leipzig - in Leipzig,2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_12_39GSLeipzig.pdf,13.01.2022 bis 21.01.2022,2022-01-13 00:00:00,2022-01-21 00:00:00,1642032000,1642723200,False,"Gustav-Kühn-Straße 1, 04159 Leipzig, Deutschland",51.367449,12.3410469
Werner-Heisenberg-Schule - Gymnasium der Stadt Leipzig in Leipzig,2022-01-11,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_11_WernerHeisenbergSchule.pdf,12.01.2022 bis 18.01.2022,2022-01-12 00:00:00,2022-01-18 00:00:00,1641945600,1642464000,False,"Renftstraße 3, 04159 Leipzig, Deutschland",51.36743,12.34247
74. Schule - Grundschule der Stadt Leipzig - in Leipzig,2022-01-11,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_11_74GSLeipzig.pdf,12.01.2022 bis 18.01.2022,2022-01-12 00:00:00,2022-01-18 00:00:00,1641945600,1642464000,False,"Stünzer Str. 16, 04318 Leipzig, Deutschland",51.33723,12.41193
"Leibnizschule, Gymnasium der Stadt Leipzig, in Leipzig",2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_10_Leibniz_Schule_Leipzig.pdf,11.01.2022 bis 18.01.2022,2022-01-11 00:00:00,2022-01-18 00:00:00,1641859200,1642464000,False,"Nordpl. 13, 04105 Leipzig, Deutschland",51.35217429999999,12.3750167
Schule Ratzelstraße - Oberschule der Stadt Leipzig - in Leipzig,2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_10_Ratzel_Oberschule_Leipzig.pdf,11.01.2022 bis 17.01.2022,2022-01-11 00:00:00,2022-01-17 00:00:00,1641859200,1642377600,False,"Ratzelstraße 26, 04207 Leipzig, Deutschland",51.31533,12.30578
Werner-Heisenberg-Schule - Gymnasium der Stadt Leipzig - in Leipzig,2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22_01_10_Werner_Heisenberg_Schule.pdf,11.01.2022 bis 17.01.2022,2022-01-11 00:00:00,2022-01-17 00:00:00,1641859200,1642377600,False,"Renftstraße 3, 04159 Leipzig, Deutschland",51.36743,12.34247
Grundschule Holzhausen in Leipzig,2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_10_GSHolzhausen.pdf,11.01.2022 bis 21.01.2022,2022-01-11 00:00:00,2022-01-21 00:00:00,1641859200,1642723200,False,"Stötteritzer Landstraße 21, 04288 Leipzig, Deutschland",51.3049308,12.4657603
Schule Miltitz - Grundschule der Stadt Leipzig - in Leipzig,2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_10_GSMiltitz.pdf,11.01.2022 bis 17.01.2022,2022-01-11 00:00:00,2022-01-17 00:00:00,1641859200,1642377600,False,"Großmiltitzer Str. 4, 04205 Leipzig, Deutschland",51.3205532,12.2611118
Schule am Floßplatz - Grundschule der Stadt Leipzig - in Leipzig,2022-01-10,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_10_SchuleFlossplatz.pdf,11.01.2022 bis 19.01.2022,2022-01-11 00:00:00,2022-01-19 00:00:00,1641859200,1642550400,False,"Hohe Str. 45, 04107 Leipzig, Deutschland",51.3296968,12.372291
Albert-Schweitzer-Schule - Förderzentrum der Stadt Leipzig mit dem Förderschwerpunkt körperliche und motorische Entwicklung - in Leipzig,2022-01-07,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_07_Albert_Schweitzer_Schule_Leipzig,08.01.2022 bis 17.01.2022,2022-01-08 00:00:00,2022-01-17 00:00:00,1641600000,1642377600,False,"An d. Märchenwiese 3, 04277 Leipzig, Deutschland",51.3057386,12.39306
"„Heideschule Radeberg“, Schule mit dem Förderschwerpunkt Lernen, in Radeberg",2022-01-17,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/22-01_17_FS_Heideschule_Radeberg.pdf,18.01.2022 bis 24.01.2022,2022-01-18 00:00:00,2022-01-24 00:00:00,1642464000,1642982400,True,"Ferdinand-Freiligrath-Straße 27, 01454 Radeberg, Deutschland",51.1063747,13.9089661
Humboldt-Gymnasium Radeberg,2022-01-12,befristet teilweise geschlossen,https://www.smk.sachsen.de/ppdf/2022_01_12_HumboldtGymnasiumRadeberg.pdf,13.01.2022 bis 19.01.2022,2022-01-13 00:00:00,2022-01-19 00:00:00,1642032000,1642550400,False,"Freudenberg 9, 01454 Radeberg, Deutschland",51.115981,13.9198346
